fromLib,toLib,type
ant:ant,org.apache.ant:ant,rename:upgrade
ant:ant,org.apache.ant:ant-apache-regexp,rename:upgrade
ant:ant,org.apache.ant:ant-junit,rename:upgrade
ant:ant,org.apache.ant:ant-nodeps,rename:upgrade
ant:ant,org.apache.ant:ant-trax,rename:upgrade
antlr:antlr,org.antlr:antlr-runtime,rename:undecided
aopalliance:aopalliance,com.google.inject:guice,undecided
aopalliance:aopalliance,org.springframework:spring-beans,undecided
aopalliance:aopalliance,org.springframework:spring-context,undecided
aopalliance:aopalliance,org.springframework:spring-core,undecided
args4j:args4j,net.sf.jopt-simple:jopt-simple,undecided
asm:asm,javassist:javassist,undecided
asm:asm,org.ow2.asm:asm,rename:upgrade
asm:asm,org.ow2.asm:asm-commons,rename:upgrade
asm:asm,org.ow2.asm:asm-debug-all,rename:undecided
asm:asm-all,org.apache.servicemix.bundles:org.apache.servicemix.bundles.asm,undecided
asm:asm-all,org.ow2.asm:asm,rename:upgrade
asm:asm-all,org.ow2.asm:asm-all,rename:undecided
asm:asm-all,org.ow2.asm:asm-analysis,rename:upgrade
asm:asm-all,org.ow2.asm:asm-commons,rename:upgrade
asm:asm-all,org.ow2.asm:asm-debug-all,rename:undecided
asm:asm-all,org.ow2.asm:asm-tree,rename:upgrade
asm:asm-all,org.ow2.asm:asm-util,rename:upgrade
backport-util-concurrent:backport-util-concurrent,commons-pool:commons-pool,undecided
bcel:bcel,org.apache.bcel:bcel,rename:undecided
c3p0:c3p0,com.alibaba:druid,undecided
c3p0:c3p0,com.mchange:c3p0,rename:undecided
c3p0:c3p0,com.zaxxer:HikariCP,undecided
c3p0:c3p0,commons-dbcp:commons-dbcp,undecided
c3p0:c3p0,org.hibernate:hibernate-c3p0,rename:undecided
castor:castor,org.codehaus.castor:castor,rename:undecided
cglib:cglib-nodep,org.javassist:javassist,undecided
ch.qos.logback:logback-access,org.apache.logging.log4j:log4j-api,undecided
ch.qos.logback:logback-access,org.apache.logging.log4j:log4j-core,undecided
ch.qos.logback:logback-access,org.apache.logging.log4j:log4j-jcl,undecided
ch.qos.logback:logback-access,org.apache.logging.log4j:log4j-slf4j-impl,undecided
ch.qos.logback:logback-classic,log4j:log4j,undecided
ch.qos.logback:logback-classic,org.apache.logging.log4j:log4j-api,undecided
ch.qos.logback:logback-classic,org.apache.logging.log4j:log4j-core,undecided
ch.qos.logback:logback-classic,org.apache.logging.log4j:log4j-slf4j-impl,undecided
ch.qos.logback:logback-classic,org.slf4j:jcl-over-slf4j,undecided
ch.qos.logback:logback-classic,org.slf4j:log4j-over-slf4j,undecided
ch.qos.logback:logback-classic,org.slf4j:slf4j-api,undecided
ch.qos.logback:logback-classic,org.slf4j:slf4j-jdk14,undecided
ch.qos.logback:logback-classic,org.slf4j:slf4j-log4j12,undecided
ch.qos.logback:logback-classic,org.slf4j:slf4j-nop,undecided
ch.qos.logback:logback-classic,org.slf4j:slf4j-simple,undecided
ch.qos.logback:logback-classic,org.springframework.boot:spring-boot-dependencies,undecided
ch.qos.logback:logback-classic,org.springframework.boot:spring-boot-starter-logging,undecided
ch.qos.logback:logback-core,log4j:log4j,undecided
ch.qos.logback:logback-core,org.apache.logging.log4j:log4j-api,undecided
ch.qos.logback:logback-core,org.apache.logging.log4j:log4j-core,undecided
ch.qos.logback:logback-core,org.apache.logging.log4j:log4j-slf4j-impl,undecided
ch.qos.logback:logback-core,org.slf4j:slf4j-api,undecided
ch.qos.logback:logback-core,org.slf4j:slf4j-log4j12,undecided
ch.qos.logback:logback-core,org.slf4j:slf4j-simple,undecided
ch.qos.logback:logback-core,org.springframework.boot:spring-boot-dependencies,undecided
colt:colt,org.apache.mahout:mahout-math,undecided
com.101tec:zkclient,com.github.sgroschupf:zkclient,rename:undecided
com.101tec:zkclient,org.apache.curator:curator-client,undecided
com.101tec:zkclient,org.apache.curator:curator-framework,undecided
com.101tec:zkclient,org.apache.curator:curator-recipes,undecided
com.alibaba:druid,com.zaxxer:HikariCP,undecided
com.alibaba:dubbo,com.caucho:hessian,undecided
com.alibaba:dubbo,org.apache.dubbo:dubbo,rename:upgrade
com.alibaba:fastjson,com.fasterxml.jackson.core:jackson-annotations,undecided
com.alibaba:fastjson,com.fasterxml.jackson.core:jackson-core,undecided
com.alibaba:fastjson,com.fasterxml.jackson.core:jackson-databind,undecided
com.alibaba:fastjson,net.sf.json-lib:json-lib,undecided
com.alibaba:fastjson,org.codehaus.jackson:jackson-core-asl,undecided
com.alibaba:fastjson,org.codehaus.jackson:jackson-mapper-asl,undecided
com.beust:jcommander,commons-cli:commons-cli,undecided
com.beust:jcommander,info.picocli:picocli,undecided
com.carrotsearch:hppc,it.unimi.dsi:fastutil,undecided
com.codahale.metrics:metrics-core,io.dropwizard.metrics:metrics-core,rename:upgrade
com.datastax.cassandra:cassandra-driver-core,org.hibernate:hibernate-search-engine,undecided
com.esotericsoftware.kryo:kryo,com.esotericsoftware:kryo,rename:upgrade
com.esotericsoftware.kryo:kryo,com.esotericsoftware:kryo-shaded,rename:upgrade
com.esotericsoftware:kryo,com.esotericsoftware.kryo:kryo,rename:downgrade
com.fasterxml.jackson.core:jackson-annotations,com.fasterxml.jackson.datatype:jackson-datatype-joda,rename:undecided
com.fasterxml.jackson.core:jackson-annotations,com.fasterxml.jackson.jaxrs:jackson-jaxrs-json-provider,rename:undecided
com.fasterxml.jackson.core:jackson-annotations,com.fasterxml.jackson:jackson-bom,rename:undecided
com.fasterxml.jackson.core:jackson-annotations,com.google.code.gson:gson,undecided
com.fasterxml.jackson.core:jackson-annotations,org.apache.johnzon:johnzon-jsonb,undecided
com.fasterxml.jackson.core:jackson-annotations,org.codehaus.jackson:jackson-core-asl,rename:downgrade
com.fasterxml.jackson.core:jackson-annotations,org.codehaus.jackson:jackson-jaxrs,rename:downgrade
com.fasterxml.jackson.core:jackson-annotations,org.codehaus.jackson:jackson-mapper-asl,rename:downgrade
com.fasterxml.jackson.core:jackson-annotations,org.codehaus.jackson:jackson-smile,rename:downgrade
com.fasterxml.jackson.core:jackson-annotations,org.jboss.resteasy:resteasy-jackson-provider,rename:undecided
com.fasterxml.jackson.core:jackson-annotations,org.json:json,undecided
com.fasterxml.jackson.core:jackson-annotations,org.springframework.boot:spring-boot-dependencies,undecided
com.fasterxml.jackson.core:jackson-annotations,org.springframework.boot:spring-boot-starter-json,undecided
com.fasterxml.jackson.core:jackson-core,com.alibaba:fastjson,undecided
com.fasterxml.jackson.core:jackson-core,com.fasterxml.jackson:jackson-bom,rename:undecided
com.fasterxml.jackson.core:jackson-core,com.google.code.gson:gson,undecided
com.fasterxml.jackson.core:jackson-core,org.codehaus.jackson:jackson-core-asl,rename:downgrade
com.fasterxml.jackson.core:jackson-core,org.codehaus.jackson:jackson-jaxrs,rename:downgrade
com.fasterxml.jackson.core:jackson-core,org.codehaus.jackson:jackson-mapper-asl,rename:downgrade
com.fasterxml.jackson.core:jackson-core,org.codehaus.jackson:jackson-smile,rename:downgrade
com.fasterxml.jackson.core:jackson-core,org.jboss.resteasy:resteasy-jackson-provider,rename:undecided
com.fasterxml.jackson.core:jackson-core,org.json:json,undecided
com.fasterxml.jackson.core:jackson-core,org.springframework.boot:spring-boot-dependencies,undecided
com.fasterxml.jackson.core:jackson-core,org.springframework.boot:spring-boot-starter-json,undecided
com.fasterxml.jackson.core:jackson-databind,com.alibaba:fastjson,undecided
com.fasterxml.jackson.core:jackson-databind,com.fasterxml.jackson:jackson-bom,rename:undecided
com.fasterxml.jackson.core:jackson-databind,com.google.code.gson:gson,undecided
com.fasterxml.jackson.core:jackson-databind,org.codehaus.jackson:jackson-core-asl,rename:undecided
com.fasterxml.jackson.core:jackson-databind,org.codehaus.jackson:jackson-jaxrs,rename:undecided
com.fasterxml.jackson.core:jackson-databind,org.codehaus.jackson:jackson-mapper-asl,rename:undecided
com.fasterxml.jackson.core:jackson-databind,org.codehaus.jackson:jackson-smile,rename:undecided
com.fasterxml.jackson.core:jackson-databind,org.jboss.resteasy:resteasy-jackson-provider,undecided
com.fasterxml.jackson.core:jackson-databind,org.json:json,undecided
com.fasterxml.jackson.core:jackson-databind,org.springframework.boot:spring-boot-dependencies,undecided
com.fasterxml.jackson.core:jackson-databind,org.springframework.boot:spring-boot-starter-json,undecided
com.fasterxml.jackson.dataformat:jackson-dataformat-yaml,com.fasterxml.jackson:jackson-bom,rename:undecided
com.fasterxml.jackson.dataformat:jackson-dataformat-yaml,org.yaml:snakeyaml,undecided
com.fasterxml.jackson.datatype:jackson-datatype-jdk8,com.fasterxml.jackson:jackson-bom,rename:undecided
com.fasterxml.jackson.datatype:jackson-datatype-joda,com.fasterxml.jackson:jackson-bom,rename:undecided
com.fasterxml.jackson.datatype:jackson-datatype-jsr310,com.fasterxml.jackson:jackson-bom,rename:undecided
com.fasterxml.jackson.datatype:jackson-datatype-jsr310,org.springframework.boot:spring-boot-starter-json,undecided
com.fasterxml.jackson.jaxrs:jackson-jaxrs-json-provider,com.fasterxml.jackson.module:jackson-module-jaxb-annotations,rename:undecided
com.fasterxml.jackson.jaxrs:jackson-jaxrs-json-provider,com.fasterxml.jackson:jackson-bom,rename:undecided
com.fasterxml.jackson.jaxrs:jackson-jaxrs-json-provider,org.codehaus.jackson:jackson-jaxrs,rename:downgrade
com.fasterxml.jackson.jaxrs:jackson-jaxrs-json-provider,org.jboss.resteasy:jaxrs-api,rename:undecided
com.github.ben-manes.caffeine:caffeine,javax.cache:cache-api,undecided
com.github.sgroschupf:zkclient,com.101tec:zkclient,rename:undecided
com.google.android:android-test,com.google.testing.compile:compile-testing,undecided
com.google.android:android-test,org.robolectric:robolectric,undecided
com.google.code.findbugs:annotations,com.github.spotbugs:spotbugs,undecided
com.google.code.findbugs:annotations,com.github.spotbugs:spotbugs-annotations,undecided
com.google.code.findbugs:annotations,com.github.stephenc.findbugs:findbugs-annotations,undecided
com.google.code.findbugs:annotations,net.jcip:jcip-annotations,undecided
com.google.code.findbugs:jsr305,com.github.spotbugs:spotbugs-annotations,undecided
com.google.code.findbugs:jsr305,com.github.stephenc.findbugs:findbugs-annotations,undecided
com.google.code.findbugs:jsr305,com.github.stephenc.jcip:jcip-annotations,undecided
com.google.code.findbugs:jsr305,net.jcip:jcip-annotations,undecided
com.google.code.findbugs:jsr305,org.checkerframework:checker-qual,undecided
com.google.code.findbugs:jsr305,org.jetbrains:annotations,undecided
com.google.code.gson:gson,com.alibaba:fastjson,undecided
com.google.code.gson:gson,com.fasterxml.jackson.core:jackson-annotations,undecided
com.google.code.gson:gson,com.fasterxml.jackson.core:jackson-core,undecided
com.google.code.gson:gson,com.fasterxml.jackson.core:jackson-databind,undecided
com.google.code.gson:gson,com.squareup.retrofit2:converter-gson,undecided
com.google.code.gson:gson,com.squareup.retrofit2:retrofit,undecided
com.google.code.gson:gson,net.sf.json-lib:json-lib,undecided
com.google.code.gson:gson,org.codehaus.jackson:jackson-core-asl,undecided
com.google.code.gson:gson,org.codehaus.jackson:jackson-jaxrs,undecided
com.google.code.gson:gson,org.codehaus.jackson:jackson-mapper-asl,undecided
com.google.code.gson:gson,org.jboss.resteasy:resteasy-jackson2-provider,undecided
com.google.collections:google-collections,com.google.guava:guava,undecided
com.google.guava:guava,com.github.ben-manes.caffeine:caffeine,undecided
com.google.guava:guava,com.googlecode.guava-osgi:guava-osgi,undecided
com.google.guava:guava,org.apache.commons:commons-lang3,undecided
com.google.guava:guava,org.glassfish.jersey.bundles.repackaged:jersey-guava,undecided
com.google.gwt:gwt-servlet,org.eclipse.jetty:jetty-server,undecided
com.google.gwt:gwt-servlet,org.glassfish.jersey.core:jersey-server,undecided
com.google.gwt:gwt-user,org.eclipse.jetty:jetty-server,undecided
com.google.gwt:gwt-user,org.eclipse.jetty:jetty-servlet,undecided
com.google.http-client:google-http-client,org.apache.httpcomponents:httpclient,undecided
com.google.inject.extensions:guice-assistedinject,com.google.gwt.inject:gin,undecided
com.google.inject.extensions:guice-assistedinject,com.squareup.dagger:dagger,undecided
com.google.inject.extensions:guice-assistedinject,com.squareup.dagger:dagger-compiler,undecided
com.google.inject.extensions:guice-multibindings,com.google.inject:guice,rename:undecided
com.google.inject.extensions:guice-multibindings,org.sonatype.sisu:sisu-guice,undecided
com.google.inject.extensions:guice-servlet,com.google.inject:guice,rename:undecided
com.google.inject:guice,com.github.rtyley:roboguice-sherlock,undecided
com.google.inject:guice,com.google.dagger:dagger,undecided
com.google.inject:guice,com.google.dagger:dagger-compiler,undecided
com.google.inject:guice,com.google.gwt.inject:gin,undecided
com.google.inject:guice,javax.inject:javax.inject,undecided
com.google.inject:guice,org.roboguice:roboguice,undecided
com.google.inject:guice,org.sonatype.sisu:sisu-guice,undecided
com.google.truth:truth,org.assertj:assertj-core,undecided
com.googlecode.jmockit:jmockit,org.jmockit:jmockit,rename:undecided
com.googlecode.jmockit:jmockit,org.mockito:mockito-core,undecided
com.googlecode.json-simple:json-simple,com.alibaba:fastjson,undecided
com.googlecode.json-simple:json-simple,com.cedarsoftware:json-io,undecided
com.googlecode.json-simple:json-simple,com.fasterxml.jackson.core:jackson-annotations,undecided
com.googlecode.json-simple:json-simple,com.fasterxml.jackson.core:jackson-core,undecided
com.googlecode.json-simple:json-simple,com.fasterxml.jackson.core:jackson-databind,undecided
com.googlecode.json-simple:json-simple,com.google.code.gson:gson,undecided
com.googlecode.json-simple:json-simple,com.thoughtworks.xstream:xstream,undecided
com.googlecode.json-simple:json-simple,net.minidev:json-smart,undecided
com.googlecode.json-simple:json-simple,org.json:json,undecided
com.h2database:h2,hsqldb:hsqldb,undecided
com.h2database:h2,mysql:mysql-connector-java,undecided
com.h2database:h2,net.openhft:chronicle-map,undecided
com.h2database:h2,org.hsqldb:hsqldb,undecided
com.h2database:h2,org.springframework.boot:spring-boot-dependencies,undecided
com.h2database:h2,org.xerial:sqlite-jdbc,undecided
com.h2database:h2,postgresql:postgresql,undecided
com.intellij:annotations,org.jetbrains:annotations,rename:upgrade
com.itextpdf:itextpdf,com.lowagie:itext,undecided
com.itextpdf:itextpdf,org.apache.pdfbox:pdfbox,undecided
com.jayway.awaitility:awaitility,org.awaitility:awaitility,rename:upgrade
com.jayway.jsonpath:json-path,io.rest-assured:json-path,rename:upgrade
com.jayway.jsonpath:json-path,org.springframework.boot:spring-boot-starter-json,undecided
com.jayway.restassured:rest-assured,io.rest-assured:json-path,undecided
com.jayway.restassured:rest-assured,io.rest-assured:json-schema-validator,undecided
com.jayway.restassured:rest-assured,io.rest-assured:rest-assured,rename:upgrade
com.jayway.restassured:rest-assured,org.glassfish.jersey.test-framework.providers:jersey-test-framework-provider-jetty,undecided
com.jcraft:jsch,org.jclouds.driver:jclouds-sshj,undecided
com.jolbox:bonecp,com.zaxxer:HikariCP,undecided
com.jolbox:bonecp,com.zaxxer:HikariCP-java6,undecided
com.jolbox:bonecp,org.apache.tomcat:tomcat-jdbc,undecided
com.lmax:disruptor,com.googlecode.disruptor:disruptor,rename:undecided
com.lowagie:itext,com.itextpdf:itextpdf,undecided
com.mchange:c3p0,com.zaxxer:HikariCP,undecided
com.mchange:c3p0,com.zaxxer:HikariCP-java7,undecided
com.mchange:c3p0,org.apache.commons:commons-dbcp2,undecided
com.microsoft.sqlserver:mssql-jdbc,com.h2database:h2,undecided
com.netflix.hystrix:hystrix-core,org.springframework.cloud:spring-cloud-starter-netflix-hystrix,rename:undecided
com.ning:async-http-client,io.vertx:vertx-core,undecided
com.ning:async-http-client,org.asynchttpclient:async-http-client,rename:upgrade
com.oracle:ojdbc14,postgresql:postgresql,undecided
com.rabbitmq:amqp-client,org.springframework.amqp:spring-rabbit,undecided
com.sparkjava:spark-core,org.eclipse.jetty:jetty-http,undecided
com.sparkjava:spark-core,org.eclipse.jetty:jetty-server,undecided
com.sparkjava:spark-core,org.eclipse.jetty:jetty-servlet,undecided
com.squareup.okhttp:okhttp,com.jcabi:jcabi-http,undecided
com.squareup.okhttp:okhttp,com.squareup.okhttp3:okhttp,rename:upgrade
com.squareup.okhttp:okhttp,com.squareup.okhttp3:okhttp-urlconnection,rename:upgrade
com.squareup.okhttp:okhttp,com.squareup.retrofit2:retrofit,undecided
com.squareup.okhttp3:okhttp,com.squareup.retrofit2:retrofit,undecided
com.sun.faces:jsf-api,javax.faces:jsf-api,rename:undecided
com.sun.faces:jsf-api,org.glassfish:javax.faces,rename:undecided
