_id,seemLikeLibrary,platform,language,name,homepageUrl,description,keywords,repositoryUrl,repositoryId,repositoryDescription,sourceRank,repositoryStarCount,repositoryForkCount,repositoryWatchersCount,repositorySourceRank,dependentProjectsCount,dependentRepositoriesCount,addedProjects,versionsCount
413027,TRUE,Maven,,org.tuckey:urlrewrite,,Artifactory auto generated POM,,,0,,6,0,0,0,0,0,65,11,1
346040,TRUE,Maven,,org.kie.commons:kie-commons-io,,Set of utilities/facades for NIO.2,,scm:git:git@github.com:droolsjbpm/kie-commons.git/kie-commons-io,0,,5,0,0,0,0,0,16,13,15
374938,TRUE,Maven,Java,com.wordnik:swagger-core,http://swagger.io,"Examples and server integrations for generating the Swagger API Specification, which enables easy access to your REST API",,scm:git:git@github.com:swagger-api/swagger-core.git/swagger-core,165161,"Examples and server integrations for generating the Swagger API Specification, which enables easy access to your REST API",16,6095,1853,343,18,4,121,15,12
2519592,TRUE,Maven,Java,org.jboss.spec.javax.xml.bind:jboss-jaxb-api_2.3_spec,https://github.com/eclipse-ee4j/jaxb-api,Jakarta XML Binding API,,https://github.com/jboss/jboss-jakarta-jaxb-api_spec,39244263,,9,0,0,2,5,0,27,22,5
353763,TRUE,Maven,,org.glassfish.hk2:hk2-utils,,${project.name},,scm:git:git://java.net/hk2~git/hk2-utils,0,,10,0,0,0,0,7,91,24,1
359067,TRUE,Maven,,net.coobird:thumbnailator,http://code.google.com/p/thumbnailator,Thumbnailator - a thumbnail generation library for Java,,scm:hg:https://code.google.com/p/thumbnailator,0,,10,0,0,0,0,19,2023,63,11
638181,TRUE,Maven,Java,org.powermock:powermock-module-testng-common,http://www.powermock.org,PowerMock module for TestNG. Common classes,,https://github.com/powermock/powermock,172859,PowerMock is a Java framework that allows you to unit test code normally regarded as untestable.,15,2580,442,174,18,8,21,10,34
368635,TRUE,Maven,,org.apache.james:apache-mime4j,http://james.apache.org/mime4j,Java stream based MIME message parser,,https://git-wip-us.apache.org/repos/asf/james-mime4j.git,0,,10,0,0,0,0,28,414,49,12
354563,TRUE,Maven,Java,org.springframework.security:spring-security-crypto,http://spring.io/spring-security,spring-security-crypto,,https://github.com/spring-projects/spring-security,173396,Spring Security,20,4228,3562,411,21,227,1398,62,88
407998,TRUE,Maven,Java,org.springframework.integration:spring-integration-event,https://projects.spring.io/spring-integration,Spring Integration ApplicationEvent Support,,https://github.com/spring-projects/spring-integration,177983,Spring Integration provides an extension of the Spring programming model to support the well-known Enterprise Integration Patterns (EIP),14,974,791,114,16,4,172,14,127
339767,TRUE,Maven,,org.apache.openejb:arquillian-tomee-embedded,,,,scm:git:https://git-wip-us.apache.org/repos/asf/tomee.git/arquillian/arquillian-tomee-embedded,0,,8,0,0,0,0,7,100,11,14
645502,TRUE,Maven,,xml-security:xmlsec,http://santuario.apache.org/,The XML Security project is aimed at providing implementation of security standards for XML,,scm:svn:http://svn.apache.org/repos/asf/maven/pom/tags/apache-4/xmlsec,0,,9,0,0,0,0,21,158,35,4
369679,TRUE,Maven,,org.apache.servicemix.bundles:org.apache.servicemix.bundles.spring-beans,http://servicemix.apache.org/, This pom provides project information that is common to all ServiceMix branches. ,,https://gitbox.apache.org/repos/asf?p=servicemix-bundles.git,0,,6,0,0,0,0,1,17,10,128
387064,TRUE,Maven,Java,org.xerial:sqlite-jdbc,,SQLite JDBC library,,https://bitbucket.org/xerial/sqlite-jdbc,176204,SQLite JDBC Driver,20,1305,322,93,16,266,5844,256,30
350205,TRUE,Maven,,org.eclipse.core:runtime,http://www.eclipse.org,Core Runtime,,,0,,13,0,0,0,0,338,162,32,5
410405,TRUE,Maven,Java,com.dyuproject.protostuff:protostuff-core,,protobuf serialization for mutable messages,,https://github.com/dyu/protostuff.git,22387394,"java serialization library, proto compiler, code generator",14,0,0,1,8,11,1302,79,19
371295,TRUE,Maven,,org.jboss.slf4j:slf4j-jboss-logmanager,http://www.jboss.org/slf4j-jboss-logmanager,Parent POM for JBoss projects. Provides default project build configuration.,,https://github.com/jboss/jboss-parent-pom.git,48832,JBoss Parent POM,12,19,41,10,16,4,48,18,9
2242035,TRUE,Maven,Java,com.vaadin:vaadin-compatibility-client-compiled,https://vaadin.com/,Vaadin 7 compatibility client compiled,,https://github.com/vaadin/framework,668696,"Vaadin 6, 7, 8   is a Java framework for modern Java web applications.",15,1546,722,163,16,0,481,11,61
392551,TRUE,Maven,,net.java.dev.stax-utils:stax-utils,http://java.net/projects/stax-utils/,Provides a set of utility classes to integrate StAX into existing XML processing applications.,,scm:svn:https://svn.java.net/svn/stax-utils~svn/trunk/,0,,10,0,0,0,0,37,106,26,1
411311,TRUE,Maven,Java,org.jboss.spec.javax.faces:jboss-jsf-api_2.2_spec,,JSR-000344: JavaServer(TM) Faces 2.2 API,,scm:git:git@github.com:jboss/jboss-jsf-api_spec.git,167012,JBoss JSF API Spec,13,7,9,19,11,0,839,17,19
387895,TRUE,Maven,HTML,org.codehaus.castor:castor,http://castor.org,"Castor is an open source data binding framework for Java[tm]. It���s the shortest path between      Java objects, XML documents and relational tables.",,https://github.com/castor-data-binding/castor.git,3688440,,13,24,16,6,9,14,349,28,18
408598,TRUE,Maven,Java,org.springframework.ws:spring-ws-test,http://projects.spring.io/spring-ws,Spring Web Services Testing package.,,scm:git:https://github.com/spring-projects/spring-ws.git,174582,Spring Web Services,11,177,217,65,13,2,167,12,36
376475,TRUE,Maven,Java,com.hubspot.jinjava:jinjava,https://github.com/HubSpot/jinjava,Jinja templating engine implemented in Java,,https://github.com/HubSpot/jinjava,168219,Jinja template engine for Java,14,315,68,72,8,1,47,11,81
2552355,TRUE,Maven,Java,org.springframework.cloud:spring-cloud-starter-netflix-hystrix,https://projects.spring.io/spring-cloud,Spring Cloud Starter Netflix Hystrix,,https://github.com/spring-cloud/spring-cloud-netflix,172832,Integration with Netflix OSS components,15,3833,1917,393,18,1,1344,126,23
650685,TRUE,Maven,Java,org.apache.maven.plugins:maven-compiler-plugin,https://maven.apache.org/plugins/,The Compiler Plugin is used to compile the sources of your project.,,https://github.com/apache/maven-compiler-plugin,31105234,Apache Maven Compiler Plugin,14,51,62,28,11,27,1014,32,24
346905,TRUE,Maven,Java,org.apache.opennlp:opennlp-tools,https://www.apache.org/," The Apache Software Foundation provides support for the Apache community of open-source software projects. The Apache projects are characterized by a collaborative, consensus based development process, an open and pragmatic software license, and a desire to create high quality software that leads the way in its field. We consider ourselves not simply a group of projects sharing a server, but rather a community of developers and users. ",,https://github.com/apache/opennlp,547237,Mirror of Apache OpenNLP,19,880,343,96,7,55,988,68,15
366245,TRUE,Maven,Java,com.carrotsearch.randomizedtesting:randomizedtesting-runner,https://github.com/randomizedtesting/randomizedtesting,JUnit test runner and plugins for running JUnit tests with pseudo-randomness.,,https://github.com/randomizedtesting/randomizedtesting,661999,"Randomized Testing (Core JUnit Runner, ANT, Maven)",19,144,39,16,14,65,631,43,77
426002,TRUE,Maven,,org.apache.rampart:rampart,,,,scm:svn:http://svn.apache.org/repos/asf/axis/axis2/java/rampart/tags/v1.7.0/rampart,0,,8,0,0,0,0,8,38,13,9
